date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-05-12,Skytteholmsvägen 5A,Centrala Solna,Blå Solna,2,60,5,Lägenhet,1965,[Solna Centrum],2595000,405000,3000000,2981,Notar,343.8686027001269,Solna centrum
2016-05-12,Centrumslingan 51,Centrala Solna,Blå Solna,3,78,5,Lägenhet,null,[Solna Centrum],3995000,455000,4450000,3988,Svenska Mäklarhuset,135.06351956964346,Solna centrum
2016-05-12,Klippgatan 16B,Centrala Solna,Blå Solna,3,75.5,1,Lägenhet,1965,[Solna Centrum],2995000,675000,3670000,3697,MOHV,380.9756512358881,Solna centrum
2016-05-11,Nybodagatan 3,Centrala Solna,Blå Solna,2,53.5,3,Lägenhet,1957,[Skytteholm],2295000,380000,2675000,2527,Fastighetsbyrån,510.88651639143876,Solna centrum
2016-05-11,Klippgatan 24A,Centrala Solna,Blå Solna,1,46,1,Lägenhet,null,[Solna Centrum],2295000,0,2295000,1413,Svenska Mäklarhuset,346.09253661961145,Solna centrum
2016-05-11,Nybodagatan 6B,Centrala Solna,Blå Solna,3,73,3,Lägenhet,1962,[Skytteholm],2995000,505000,3500000,3406,Fastighetsbyrån,456.8479671930115,Solna centrum
2016-05-11,Klippgatan 24C,Centrala Solna,Blå Solna,2,57.5,6,Lägenhet,1964,[Solna Centrum],2495000,855000,3350000,1766,MOHV,306.5425658358743,Solna centrum
2016-05-05,Hannebergsgatan 13,Centrala Solna,Blå Solna,1.5,37,0,Lägenhet,1951,[Solna Centrum],2295000,0,2295000,1859,Fastighetsbyrån,370.4994048090309,Solna centrum
2016-05-05,Nybodagatan 4,Centrala Solna,Blå Solna,6,171.8,7,Lägenhet,1956,[Skytteholm],6495000,470000,6965000,8548,Fastighetsbyrån,488.20547382092997,Solna centrum
2016-04-28,Klippgatan 20B,Centrala Solna,Blå Solna,3,75.5,7,Lägenhet,1965,[Solna Centrum],2995000,705000,3700000,3425,One Fastighetsmäkleri,346.2565333851291,Solna centrum
2016-04-28,Ankdammsgatan 28,Centrala Solna,Blå Solna,3,76,5,Lägenhet,1959,[Skytteholm],3195000,105000,3300000,3781,Länsförsäkringar Fastighetsförmedling,488.8509149148139,Solna centrum
2016-04-27,Sagagatan 12,Centrala Solna,Blå Solna,4,96,2,Lägenhet,1951,[Solna Centrum],4495000,705000,5200000,4776,One Fastighetsmäkleri,270.05740901250607,Solna centrum
2016-04-26,Klippgatan 20C,Centrala Solna,Blå Solna,2,59.5,2,Lägenhet,1965,[Solna Centrum],2595000,210000,2805000,2746,One Fastighetsmäkleri,330.0134954118392,Solna centrum
2016-04-22,Ankdammsgatan 30,Centrala Solna,Blå Solna,1,49,null,Lägenhet,1960,[Skytteholm],2500000,-70000,2430000,2438,Fastighetsbyrån,494.0596426272085,Solna centrum
2016-04-22,Klippgatan 12C,Centrala Solna,Blå Solna,1,46,1,Lägenhet,1965,[Centrum Solna],2295000,270000,2565000,1755,Länsförsäkringar Fastighetsförmedling,396.5779902884771,Solna centrum
2016-04-21,Nybodagatan 6B,Centrala Solna,Blå Solna,3,76,1,Lägenhet,1962,[Skytteholm],3230000,20000,3250000,3533,SkandiaMäklarna,456.8479671930115,Solna centrum
2016-04-21,Nybodagatan 2,Centrala Solna,Blå Solna,1.5,52,1,Lägenhet,1960,[Skytteholm],2495000,5000,2500000,2587,Fastighetsbyrån,511.3203756648936,Solna centrum
2016-04-19,Skytteholmsvägen 41,Centrala Solna,Blå Solna,2,45,null,Lägenhet,2003,[Fristaden],2725000,225000,2950000,2841,Notar,114.75204028781198,Solna centrum
2016-04-15,Klippgatan 16A,Centrala Solna,Blå Solna,2,60,7,Lägenhet,1964,[Solna Centrum],2895000,415000,3310000,2956,Erik Olsson Fastighetsförmedling,408.26212595040994,Solna centrum
2016-04-15,Klippgatan 24A,Centrala Solna,Blå Solna,1,46,5,Lägenhet,1965,[Solna Centrum],1995000,455000,2450000,1413,One Fastighetsmäkleri,346.09253661961145,Solna centrum
2016-04-12,Ankdammsgatan 36,Centrala Solna,Blå Solna,3,80.1,11,Lägenhet,1959,[Skytteholm],3595000,505000,4100000,3358,HusmanHagberg,622.11108686786,Solna centrum
2016-04-12,Nybodagatan 6C,Centrala Solna,Blå Solna,3,83,6,Lägenhet,1961,[Skytteholm],3295000,215000,3510000,3828,Notar,467.76108296154706,Solna centrum
2016-04-11,Huvudstagatan 1D,Centrala Solna,Blå Solna,2,50,4,Lägenhet,2002,[Fristaden],2595000,105000,2700000,2836,Fastighetsbyrån,73.55846590048706,Solna centrum
2016-04-11,Ankdammsgatan 26,Centrala Solna,Blå Solna,2,57.5,3,Lägenhet,1959,[Skytteholm],2850000,250000,3100000,2861,Länsförsäkringar Fastighetsförmedling,478.4747746195364,Solna centrum
2016-04-11,Klippgatan 8A,Centrala Solna,Blå Solna,1,46,3,Lägenhet,1965,[Centrum Solna],2295000,315000,2610000,1747,Länsförsäkringar Fastighetsförmedling,455.5605428010253,Solna centrum
2016-04-09,Sagagatan 13,Centrala Solna,Blå Solna,2,55,3,Lägenhet,null,[Solna Centrum],2495000,345000,2840000,2641,Svenska Mäklarhuset,220.781020123381,Solna centrum
2016-04-08,Skytteholmsvägen 22,Centrala Solna,Blå Solna,2,58,3,Lägenhet,1952,[Solna Centrum],2695000,555000,3250000,2187,Notar,112.2466231972227,Solna centrum
2016-04-08,Ankdammsgatan 36,Centrala Solna,Blå Solna,2,57.2,2,Lägenhet,1959,[Skytteholm],2495000,505000,3000000,2572,MOHV,622.11108686786,Solna centrum
2016-04-01,Centrumslingan 51,Centrala Solna,Blå Solna,3,78,7,Lägenhet,1991,[Solna Centrum],3995000,410000,4405000,3988,SkandiaMäklarna,135.06351956964346,Solna centrum
2016-03-29,Huvudstagatan 1B,Centrala Solna,Blå Solna,1,41,null,Lägenhet,2002,[Fristaden],2250000,475000,2725000,2470,Notar,87.07919113786492,Solna centrum
2016-03-29,Skytteholmsvägen 5A,Centrala Solna,Blå Solna,3,86,1,Lägenhet,null,[Solna Centrum],3295000,215000,3510000,4573,Svenska Mäklarhuset,343.8686027001269,Solna centrum
2016-03-24,Sagagatan 13,Centrala Solna,Blå Solna,3,69,2,Lägenhet,1952,[Solna Centrum],2995000,605000,3600000,3245,Fastighetsbyrån,220.781020123381,Solna centrum
2016-03-23,Skytteholmsvägen 41,Centrala Solna,Blå Solna,2,60,null,Lägenhet,2003,[Fristaden],2895000,305000,3200000,3516,Notar,114.75204028781198,Solna centrum
2016-03-22,Ankdammsgatan 40,Centrala Solna,Blå Solna,5,119,11,Lägenhet,1958,[Skytteholm],5450000,440000,5890000,4364,SkandiaMäklarna,570.1324976749531,Solna centrum
2016-03-21,Ankdammsgatan 30,Centrala Solna,Blå Solna,2,53,1,Lägenhet,1959,[Skytteholm],2450000,250000,2700000,2637,Notar,494.0596426272085,Solna centrum
2016-03-17,Nybodagatan 6A,Centrala Solna,Blå Solna,3,73,3,Lägenhet,1958,[Skytteholm],2995000,545000,3540000,3310,Fastighetsbyrån,444.4837098649487,Solna centrum
2016-03-17,Nybodagatan 16,Centrala Solna,Blå Solna,2,54,1,Lägenhet,1957,[Skytteholm],2495000,385000,2880000,2154,Mäklarhuset,378.6859157520134,Solna centrum
2016-03-16,Nybodagatan 4,Centrala Solna,Blå Solna,3,100.2,4,Lägenhet,1959,[Skytteholm],3495000,680000,4175000,4985,Länsförsäkringar Fastighetsförmedling,488.20547382092997,Solna centrum
2016-03-07,Nybodagatan 12,Centrala Solna,Blå Solna,3,91,3,Lägenhet,1957,[Skytteholm],2995000,485000,3480000,4955,Notar,430.4424995153574,Solna centrum
2016-03-05,Ankdammsgatan 36,Centrala Solna,Blå Solna,2,57.2,9,Lägenhet,1959,[Skytteholm],2595000,300000,2895000,2651,Fastighetsbyrån,622.11108686786,Solna centrum
2016-02-26,Klippgatan 16A,Centrala Solna,Blå Solna,4,96.5,2,Lägenhet,null,[Solna Centrum],4295000,0,4295000,4699,Svenska Mäklarhuset,408.26212595040994,Solna centrum
2016-02-25,Skytteholmsvägen 20,Centrala Solna,Blå Solna,4.5,96,2,Lägenhet,1950,[Solna Centrum],3595000,965000,4560000,5429,Mäklarhuset,169.73472419494146,Solna centrum
2016-02-24,Ankdammsgatan 36,Centrala Solna,Blå Solna,3,80.1,5,Lägenhet,1959,[Skytteholm],3395000,335000,3730000,3378,Fastighetsbyrån,622.11108686786,Solna centrum
2016-02-23,Klippgatan 8C,Centrala Solna,Blå Solna,1,46,1,Lägenhet,1965,[Solna Centrum],1895000,735000,2630000,1597,One Fastighetsmäkleri,412.4206406151149,Solna centrum
2016-02-20,Centrumslingan 47,Centrala Solna,Blå Solna,3,78,3,Lägenhet,null,[Solna Centrum],3195000,405000,3600000,3988,Svenska Mäklarhuset,179.89111561032223,Solna centrum
2016-02-18,Nybodagatan 6A,Centrala Solna,Blå Solna,2,56,2,Lägenhet,1962,[Skytteholm],2595000,282000,2877000,2605,Svensk Fastighetsförmedling,444.4837098649487,Solna centrum
2016-02-18,Ankdammsgatan 40,Centrala Solna,Blå Solna,3,78,11,Lägenhet,1958,[Skytteholm],3195000,305000,3500000,3020,HusmanHagberg,570.1324976749531,Solna centrum
2016-02-16,Klippgatan 16A,Centrala Solna,Blå Solna,1.5,46,1,Lägenhet,1964,[Solna Centrum],1995000,505000,2500000,2290,Bjurfors,408.26212595040994,Solna centrum
2016-02-10,Klippgatan 8C,Centrala Solna,Blå Solna,2,57.5,7,Lägenhet,null,[Solna Centrum],2495000,915000,3410000,1996,Svenska Mäklarhuset,412.4206406151149,Solna centrum
2016-02-08,Centrumslingan 51,Centrala Solna,Blå Solna,2,59,2,Lägenhet,null,[Solna Centrum],2895000,305000,3200000,2991,Svenska Mäklarhuset,135.06351956964346,Solna centrum
2016-02-05,Centralvägen 15,Centrala Solna,Blå Solna,3,72,1,Lägenhet,1954,[Solna Centrum],2895000,695000,3590000,3134,Fastighetsbyrån,193.0774139379797,Solna centrum
2016-02-01,Nybodagatan 12,Centrala Solna,Blå Solna,3,78,1,Lägenhet,1957,[Skytteholm],2750000,300000,3050000,4184,Notar,430.4424995153574,Solna centrum
2016-01-28,Hannebergsgatan 30,Centrala Solna,Blå Solna,3,81,6,Lägenhet,2003,[Fristaden],3995000,655000,4650000,4392,SkandiaMäklarna,142.87174890363278,Solna centrum
2016-01-28,Klippgatan 12A,Centrala Solna,Blå Solna,4.5,116,8,Lägenhet,1965,[Solna Centrum],4395000,1605000,6000000,4122,Länsförsäkringar Fastighetsförmedling,439.4092530058252,Solna centrum
2016-01-27,Nybodagatan 14,Centrala Solna,Blå Solna,3,87,6,Lägenhet,1957,[Skytteholm],3395000,15000,3410000,3345,Fastighetsbyrån,395.73355917487095,Solna centrum
2016-01-23,Klippgatan 20C,Centrala Solna,Blå Solna,3,75,3,Lägenhet,1965,[Solna Centrum],3395000,655000,4050000,3397,SkandiaMäklarna,330.0134954118392,Solna centrum
2016-01-21,Klippgatan 24C,Centrala Solna,Blå Solna,1.5,46,3,Lägenhet,null,[Solna Centrum],1995000,680000,2675000,1413,Svenska Mäklarhuset,306.5425658358743,Solna centrum
2016-01-21,Hannebergsgatan 32,Centrala Solna,Blå Solna,2,50,3,Lägenhet,2003,[Fristaden],2875000,425000,3300000,3135,Notar,142.89373018208408,Solna centrum
2016-01-21,Centralvägen 9,Centrala Solna,Blå Solna,2,65,5,Lägenhet,1951,[Solna Centrum],3475000,0,3475000,3098,SkandiaMäklarna,196.05365714999084,Solna centrum
2016-01-21,Nybodagatan 14,Centrala Solna,Blå Solna,6,151,4,Lägenhet,1957,[Skytteholm],5995000,1355000,7350000,5383,Mäklarhuset,395.73355917487095,Solna centrum
2016-01-20,Klippgatan 8C,Centrala Solna,Blå Solna,3,75,7,Lägenhet,1965,[Solna Centrum],2995000,680000,3675000,2603,One Fastighetsmäkleri,412.4206406151149,Solna centrum
2016-01-15,Centralvägen 15,Centrala Solna,Blå Solna,1,19,4,Lägenhet,1951,[Solna Centrum],1595000,405000,2000000,1046,SkandiaMäklarna,193.0774139379797,Solna centrum
2016-01-14,Centrumslingan 45,Centrala Solna,Blå Solna,2,61.8,4,Lägenhet,1991,[Solna Centrum],2795000,415000,3210000,3144,Mäklarhuset,216.56175377225549,Solna centrum
2015-12-11,Klippgatan 16B,Centrala Solna,Blå Solna,3,75.5,null,Lägenhet,1964,[Solna Centrum],3475000,175000,3650000,3697,Karlsson & Uddare,380.9756512358881,Solna centrum
2015-12-11,Nybodagatan 2,Centrala Solna,Blå Solna,4,85.7,2,Lägenhet,1959,[Skytteholm],3490000,360000,3850000,4264,Notar,511.3203756648936,Solna centrum
2015-12-09,Centralvägen 15,Centrala Solna,Blå Solna,1,17,null,Lägenhet,1954,[Solna Centrum],1395000,505000,1900000,739,Fastighetsbyrån,193.0774139379797,Solna centrum
2015-12-09,Centralvägen 15,Centrala Solna,Blå Solna,3,71,0,Lägenhet,1954,[Solna Centrum],2995000,305000,3300000,3090,Fastighetsbyrån,193.0774139379797,Solna centrum
2015-12-05,Nybodagatan 3,Centrala Solna,Blå Solna,4,97.5,5,Lägenhet,null,[Skytteholm],3895000,505000,4400000,4200,Svenska Mäklarhuset,510.88651639143876,Solna centrum
2015-12-04,Centralvägen 21,Centrala Solna,Blå Solna,2,62,3,Lägenhet,1952,[Solna Centrum],2995000,155000,3150000,2338,Bjurfors,96.17733067112215,Solna centrum
2015-12-03,Skytteholmsvägen 20,Centrala Solna,Blå Solna,2,70,1,Lägenhet,1950,[Solna Centrum],2595000,155000,2750000,3959,Fastighetsbyrån,169.73472419494146,Solna centrum
2015-12-03,Hannebergsgatan 32,Centrala Solna,Blå Solna,2,50,3,Lägenhet,2003,[Fristaden],2775000,285000,3060000,3232,SthlmFast,142.89373018208408,Solna centrum
2015-11-28,Skytteholmsvägen 20,Centrala Solna,Blå Solna,4,90,3,Lägenhet,1950,[Solna Centrum],3495000,415000,3910000,5090,Länsförsäkringar Fastighetsförmedling,169.73472419494146,Solna centrum
2015-11-19,Ankdammsgatan 8,Centrala Solna,Blå Solna,3,74.5,4,Lägenhet,1978,[Skytteholm],2995000,415000,3410000,3323,HusmanHagberg,272.74826244889334,Solna centrum
2015-11-19,Hannebergsgatan 16,Centrala Solna,Blå Solna,3,80,1,Lägenhet,null,[Solna Centrum],3395000,415000,3810000,3781,Svenska Mäklarhuset,363.88586029181164,Solna centrum
2015-11-19,Nybodagatan 10,Centrala Solna,Blå Solna,2,61,1,Lägenhet,1957,[Skytteholm],2450000,270000,2720000,3272,Notar,450.7501270535338,Solna centrum
2015-11-19,Ankdammsgatan 28,Centrala Solna,Blå Solna,3,76,2,Lägenhet,1959,[Skytteholm],2995000,540000,3535000,3781,Länsförsäkringar Fastighetsförmedling,488.8509149148139,Solna centrum
2015-11-18,Huvudstagatan 3F,Centrala Solna,Blå Solna,1,38,1,Lägenhet,null,[Fristaden],1895000,755000,2650000,2522,Svenska Mäklarhuset,163.79981075161606,Solna centrum
2015-11-16,Nybodagatan 6B,Centrala Solna,Blå Solna,3,76,3,Lägenhet,1962,[Skytteholm],3400000,-75000,3325000,3470,Länsförsäkringar Fastighetsförmedling,456.8479671930115,Solna centrum
2015-11-11,Klippgatan 24A,Centrala Solna,Blå Solna,1,46,1,Lägenhet,1965,[Solna Centrum],1995000,630000,2625000,1413,One Fastighetsmäkleri,346.09253661961145,Solna centrum
2015-11-07,Nybodagatan 10,Centrala Solna,Blå Solna,6,154,3,Lägenhet,null,[Skytteholm],5500000,1100000,6600000,8261,Svenska Mäklarhuset,450.7501270535338,Solna centrum
2015-11-06,Skytteholmsvägen 20,Centrala Solna,Blå Solna,3,96,1,Lägenhet,1950,[Solna Centrum],2875000,455000,3330000,4688,Notar,169.73472419494146,Solna centrum
2015-11-03,Nybodagatan 4,Centrala Solna,Blå Solna,4,100.2,6,Lägenhet,1959,[Skytteholm],3975000,325000,4300000,4985,Notar,488.20547382092997,Solna centrum
2015-11-03,Skytteholmsvägen 5A,Centrala Solna,Blå Solna,1,42,2,Lägenhet,1965,[Solna Centrum],2195000,385000,2580000,2189,Notar,343.8686027001269,Solna centrum
2015-11-03,Hannebergsgatan 16,Centrala Solna,Blå Solna,3,74,2,Lägenhet,1951,[Solna Centrum],2995000,555000,3550000,3686,Notar,363.88586029181164,Solna centrum
2015-10-29,Centrumslingan 51,Centrala Solna,Blå Solna,2,59,4,Lägenhet,1991,[Solna Centrum],2595000,450000,3045000,2991,Mäklarhuset,135.06351956964346,Solna centrum
2015-10-27,Centrumslingan 51,Centrala Solna,Blå Solna,3,78,null,Lägenhet,1991,[Solna Centrum],3695000,190000,3885000,3988,Länsförsäkringar Fastighetsförmedling,135.06351956964346,Solna centrum
2015-10-27,Ankdammsgatan 28,Centrala Solna,Blå Solna,4,97,null,Lägenhet,1959,[Skytteholm],3495000,555000,4050000,4826,Länsförsäkringar Fastighetsförmedling,488.8509149148139,Solna centrum
2015-10-23,Nybodagatan 5,Centrala Solna,Blå Solna,4,97,null,Lägenhet,1957,[Skytteholm],4295000,505000,4800000,4097,Fastighetsbyrån,473.0984834587351,Solna centrum
2015-10-22,Klippgatan 12C,Centrala Solna,Blå Solna,4,97,1,Lägenhet,1965,[Solna Centrum],4295000,225000,4520000,3479,Fastighetsbyrån,396.5779902884771,Solna centrum
2015-10-19,Ankdammsgatan 36,Centrala Solna,Blå Solna,3,80.1,1,Lägenhet,1959,[Skytteholm],2995000,205000,3200000,3299,Notar,622.11108686786,Solna centrum
2015-10-19,Nybodagatan 14,Centrala Solna,Blå Solna,2.5,65,4,Lägenhet,1957,[Skytteholm],2495000,805000,3300000,2543,Notar,395.73355917487095,Solna centrum
2015-10-19,Nybodagatan 5,Centrala Solna,Blå Solna,5,111,9,Lägenhet,1957,[Skytteholm],3950000,950000,4900000,4865,Notar,473.0984834587351,Solna centrum
2015-10-05,Skytteholmsvägen 41,Centrala Solna,Blå Solna,2,45,2,Lägenhet,2003,[Fristaden],2150000,400000,2550000,2841,Notar,114.75204028781198,Solna centrum
2015-10-05,Klippgatan 20C,Centrala Solna,Blå Solna,2,60,7,Lägenhet,1965,[Solna Centrum],2595000,535000,3130000,2772,Notar,330.0134954118392,Solna centrum
2015-09-21,Ankdammsgatan 28,Centrala Solna,Blå Solna,3,76,1,Lägenhet,1959,[Skytteholm],3295000,275000,3570000,3781,Svensk Fastighetsförmedling,488.8509149148139,Solna centrum
2015-09-17,Hannebergsgatan 32,Centrala Solna,Blå Solna,2,55,1,Lägenhet,2003,[Fristaden],2575000,625000,3200000,3442,SthlmFast,142.89373018208408,Solna centrum
2015-09-16,Centralvägen 15,Centrala Solna,Blå Solna,1,19,5,Lägenhet,1952,[Solna Centrum],1495000,390000,1885000,1096,HusmanHagberg,193.0774139379797,Solna centrum
2015-09-15,Hannebergsgatan 16,Centrala Solna,Blå Solna,3,74,2,Lägenhet,1951,[Solna Centrum],3650000,-240000,3410000,3686,Länsförsäkringar Fastighetsförmedling,363.88586029181164,Solna centrum
2015-09-15,Skytteholmsvägen 20,Centrala Solna,Blå Solna,4,90,7,Lägenhet,1950,[Solna Centrum],3895000,155000,4050000,5090,Fastighetsbyrån,169.73472419494146,Solna centrum
2015-09-10,Ankdammsgatan 36,Centrala Solna,Blå Solna,3,80.1,11,Lägenhet,1959,[Skytteholm],3495000,755000,4250000,3397,HusmanHagberg,622.11108686786,Solna centrum
2015-09-07,Centralvägen 5,Centrala Solna,Blå Solna,2,60,3,Lägenhet,1951,[Solna Centrum],2950000,315000,3265000,2612,Länsförsäkringar Fastighetsförmedling,193.0774139379797,Solna centrum
2015-09-07,Hannebergsgatan 28,Centrala Solna,Blå Solna,1,34,null,Lägenhet,2004,[Fristaden],1995000,355000,2350000,2444,Länsförsäkringar Fastighetsförmedling,162.30948320360977,Solna centrum
2015-09-07,Sagagatan 13,Centrala Solna,Blå Solna,3,70,3,Lägenhet,1952,[Centrum Solna],3700000,0,3700000,3245,Länsförsäkringar Fastighetsförmedling,220.781020123381,Solna centrum
2015-09-03,Ankdammsgatan 24,Centrala Solna,Blå Solna,3,74.5,2,Lägenhet,1962,[Skytteholm],3195000,555000,3750000,2451,Fastighetsbyrån,439.9803602352619,Solna centrum
2015-09-02,Ankdammsgatan 8,Centrala Solna,Blå Solna,3,81,1,Lägenhet,1978,[Skytteholm],3295000,805000,4100000,null,One Fastighetsmäkleri,272.74826244889334,Solna centrum
2015-09-01,Hannebergsgatan 13,Centrala Solna,Blå Solna,2,37,1,Lägenhet,null,[Solna Centrum],1895000,1105000,3000000,1859,Svenska Mäklarhuset,370.4994048090309,Solna centrum
2015-08-31,Hannebergsgatan 28,Centrala Solna,Blå Solna,2,44,5,Lägenhet,2004,[Solna Centrum],2395000,680000,3075000,3117,SthlmFast,162.30948320360977,Solna centrum
2015-08-28,Huvudstagatan 3E,Centrala Solna,Blå Solna,3,69,1,Lägenhet,2003,[Solna Centrum],3600000,-60000,3540000,3848,Innerstadsspecialisten AB,126.19771602009092,Solna centrum
2015-08-28,Klippgatan 16C,Centrala Solna,Blå Solna,2,57.5,4,Lägenhet,null,[Solna Centrum],2595000,655000,3250000,2839,Svenska Mäklarhuset,417.4793075824958,Solna centrum
2015-08-27,Ankdammsgatan 36,Centrala Solna,Blå Solna,3,80.1,11,Lägenhet,1959,[Skytteholm],3150000,400000,3550000,3358,Hemmäklarna,622.11108686786,Solna centrum
2015-08-26,Huvudstagatan 1,Centrala Solna,Blå Solna,3,67,null,Lägenhet,2002,[Fristaden],3250000,250000,3500000,3507,Fabergé Fastighetsmäkleri,73.55846590048706,Solna centrum
2015-08-26,Klippgatan 24,Centrala Solna,Blå Solna,2,58,6,Lägenhet,1965,[Solna Centrum],2695000,435000,3130000,1766,Svensk Fastighetsförmedling,364.69135864054505,Solna centrum
2015-08-23,Klippgatan 16B,Centrala Solna,Blå Solna,3,75.5,4,Lägenhet,null,[Solna Centrum],3495000,405000,3900000,3697,Svenska Mäklarhuset,380.9756512358881,Solna centrum
2015-08-20,Nybodagatan 12,Centrala Solna,Blå Solna,2,61,7,Lägenhet,1957,[Skytteholm],2450000,450000,2900000,3272,Notar,430.4424995153574,Solna centrum
2015-08-19,Klippgatan 16A,Centrala Solna,Blå Solna,2,60,8,Lägenhet,1964,[Solna Centrum],2895000,435000,3330000,2958,One Fastighetsmäkleri,408.26212595040994,Solna centrum
2015-08-15,Nybodagatan 2,Centrala Solna,Blå Solna,3,85.7,6,Lägenhet,1959,[Skytteholm],2995000,430000,3425000,4264,Notar,511.3203756648936,Solna centrum
2015-08-11,Ankdammsgatan 24A,Centrala Solna,Blå Solna,2,70,null,Lägenhet,1962,[Skytteholm],2695000,655000,3350000,null,One Fastighetsmäkleri,440.79756513784713,Solna centrum
2015-08-11,Skytteholmsvägen 22,Centrala Solna,Blå Solna,2,58,3,Lägenhet,1952,[Solna Centrum],2495000,855000,3350000,2187,Notar,112.2466231972227,Solna centrum
2015-08-07,Ankdammsgatan 40,Centrala Solna,Blå Solna,3,73.5,5,Lägenhet,1958,[Skytteholm],2995000,605000,3600000,2799,Fastighetsbyrån,570.1324976749531,Solna centrum
2015-07-20,Nybodagatan 5,Centrala Solna,Blå Solna,2,55.4,6,Lägenhet,1957,[Skytteholm],2495000,515000,3010000,2781,Notar,473.0984834587351,Solna centrum
2015-07-09,Centralvägen 21,Centrala Solna,Blå Solna,3,83,3,Lägenhet,1952,[Solna Centrum],3495000,425000,3920000,2895,Notar,96.17733067112215,Solna centrum
2015-07-07,Hannebergsgatan 11,Centrala Solna,Blå Solna,3.5,79,2,Lägenhet,1951,[Solna Centrum],2750000,250000,3000000,4049,Notar,608.865769780049,Solna centrum
2015-07-02,Skytteholmsvägen 5A,Centrala Solna,Blå Solna,4,102,5,Lägenhet,1965,[Solna Centrum],3495000,280000,3775000,5068,Notar,343.8686027001269,Solna centrum
2015-06-26,Hannebergsgatan 30,Centrala Solna,Blå Solna,3,81,2,Lägenhet,null,[Fristaden],3495000,0,3495000,4528,Notar,142.87174890363278,Solna centrum
2015-06-26,Centralvägen 15,Centrala Solna,Blå Solna,3,72,4,Lägenhet,1952,[Solna Centrum],2895000,255000,3150000,2849,Notar,193.0774139379797,Solna centrum
2015-06-26,Huvudstagatan 1,Centrala Solna,Blå Solna,2,78,2,Lägenhet,null,[Fristaden],3650000,50000,3700000,3934,Notar,73.55846590048706,Solna centrum
2015-06-25,Skytteholmsvägen 24,Centrala Solna,Blå Solna,2,61,4,Lägenhet,1952,[Solna Centrum],2695000,200000,2895000,2356,Mäklarhuset,101.85175468830603,Solna centrum
2015-06-22,Huvudstagatan 3D,Centrala Solna,Blå Solna,3,77,3,Lägenhet,2003,[Solna Centrum],3495000,305000,3800000,4212,Fantastic Frank Fastighetsmäkleri,146.16104634222606,Solna centrum
2015-06-22,Klippgatan 8C,Centrala Solna,Blå Solna,4,97,3,Lägenhet,null,[Solna Centrum],3795000,55000,3850000,null,One Fastighetsmäkleri,412.4206406151149,Solna centrum
2015-06-17,Klippgatan 24A,Centrala Solna,Blå Solna,1,46,4,Lägenhet,null,[Solna Centrum],1995000,565000,2560000,null,One Fastighetsmäkleri,346.09253661961145,Solna centrum
2015-06-17,Nybodagatan 3,Centrala Solna,Blå Solna,3,77.3,9,Lägenhet,1957,[Skytteholm],3295000,55000,3350000,3516,HusmanHagberg,510.88651639143876,Solna centrum
2015-06-16,Nybodagatan 2,Centrala Solna,Blå Solna,3.5,85.7,5,Lägenhet,1960,[Skytteholm],2895000,305000,3200000,4264,Fastighetsbyrån,511.3203756648936,Solna centrum
2015-06-13,Hannebergsgatan 28,Centrala Solna,Blå Solna,2,53,5,Lägenhet,2004,[Fristaden],2395000,615000,3010000,null,Svensk Fastighetsförmedling,162.30948320360977,Solna centrum
2015-06-12,Klippgatan 16C,Centrala Solna,Blå Solna,3,50,0,Lägenhet,1965,[Solna Centrum],2495000,45000,2540000,2628,Svensk Fastighetsförmedling,417.4793075824958,Solna centrum
2015-06-11,Nybodagatan 16,Centrala Solna,Blå Solna,3,87,2,Lägenhet,1958,[Skytteholm],3495000,115000,3610000,3345,Fastighetsbyrån,378.6859157520134,Solna centrum
2015-06-09,Hannebergsgatan 16,Centrala Solna,Blå Solna,3,75,6,Lägenhet,1951,[Solna Centrum],3495000,185000,3680000,3734,Länsförsäkringar Fastighetsförmedling,363.88586029181164,Solna centrum
2015-06-06,Klippgatan 24A,Centrala Solna,Blå Solna,3,77,8,Lägenhet,1965,[Solna Centrum],3495000,255000,3750000,2350,Svensk Fastighetsförmedling,346.09253661961145,Solna centrum
2015-06-05,Skytteholmsvägen 20,Centrala Solna,Blå Solna,4,90,6,Lägenhet,1950,[Solna Centrum],3495000,305000,3800000,5090,Länsförsäkringar Fastighetsförmedling,169.73472419494146,Solna centrum
2015-06-04,Klippgatan 8C,Centrala Solna,Blå Solna,4,97,3,Lägenhet,1965,[Solna Centrum],3995000,0,3995000,3517,Fastighetsbyrån,412.4206406151149,Solna centrum
2015-06-04,Ankdammsgatan 30,Centrala Solna,Blå Solna,1,25.3,4,Lägenhet,1960,[Skytteholm],1650000,135000,1785000,1259,SverigeMäklaren,494.0596426272085,Solna centrum
2015-06-04,Huvudstagatan 3E,Centrala Solna,Blå Solna,3,82,1,Lägenhet,2002,[Fristaden],3895000,55000,3950000,4420,Erik Olsson Fastighetsförmedling,126.19771602009092,Solna centrum
2015-05-29,Huvudstagatan 3E,Centrala Solna,Blå Solna,2,45,2,Lägenhet,2002,[Fristaden],2395000,355000,2750000,2841,Fastighetsbyrån,126.19771602009092,Solna centrum
