date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2016-06-16,Herrhagsvägen 18,Svedmyra,GronHagsatra,5,180,null,Villa,1932,[Farsta stadsdelsområde],7995000,-245000,7750000,null,Entré rekommenderade mäklare AB,416.6845681064102,Svedmyra
2016-06-16,Jönåkersvägen 25,Svedmyra,GronHagsatra,2,56,2,Lägenhet,1950,[Svedmyra],2350000,150000,2500000,3717,Mäklarringen,564.3547722674243,Svedmyra
2016-06-10,Svedmyrastigen 20,Svedmyra,GronHagsatra,5,68,null,Villa,1954,[Svedmyra],5995000,1205000,7200000,null,Länsförsäkringar Fastighetsförmedling,451.2338271641074,Svedmyra
2016-06-02,Jönåkersvägen 26,Svedmyra,GronHagsatra,2,57,1,Lägenhet,null,[Svedmyra],2195000,280000,2475000,3550,BOSTHLM,516.793951768818,Svedmyra
2016-05-31,Jönåkersvägen 28,Svedmyra,GronHagsatra,1,18,2,Lägenhet,1950,[Enskede],1800000,0,1800000,1121,Länsförsäkringar Fastighetsförmedling,526.0128464360497,Svedmyra
2016-05-26,Jönåkersvägen 1,Svedmyra,GronHagsatra,2,55,1,Lägenhet,1950,[Enskede],1995000,555000,2550000,2681,Länsförsäkringar Fastighetsförmedling,604.4723404304034,Svedmyra
2016-05-20,Frimärksvägen 3,Svedmyra,GronHagsatra,2,38,2,Lägenhet,null,[Svedmyra],1895000,160000,2055000,2208,Fastighetsbyrån,505.021476134059,Svedmyra
2016-05-13,Jönåkersvägen 26,Svedmyra,GronHagsatra,1,18,1,Lägenhet,1950,[Svedmyra],1495000,385000,1880000,1121,Fastighetsbyrån,516.793951768818,Svedmyra
2016-05-13,Jönåkersvägen 1,Svedmyra,GronHagsatra,2,55,3,Lägenhet,1950,[Svedmyra],3200000,-350000,2850000,2681,MOHV,604.4723404304034,Svedmyra
2016-05-11,Jönåkersvägen 26,Svedmyra,GronHagsatra,2,57,3,Lägenhet,1950,[Svedmyra],2200000,600000,2800000,3550,HusmanHagberg,516.793951768818,Svedmyra
2016-05-04,Jönåkersvägen 21,Svedmyra,GronHagsatra,2,56,1,Lägenhet,1950,[Svedmyra],2300000,50000,2350000,3717,Notar,545.2211071108298,Svedmyra
2016-04-29,Fållnäsgatan 69,Svedmyra,GronHagsatra,6,68,null,Villa,1952,[Svedmyra],6350000,1225000,7575000,null,Mäklarhuset,553.1825189560052,Svedmyra
2016-04-27,Brevvägen 5,Svedmyra,GronHagsatra,2,47,3,Lägenhet,null,[Svedmyra],2295000,405000,2700000,2863,Grand Fastighetsförmedling,545.3615560802147,Svedmyra
2016-04-21,Brevvägen 3,Svedmyra,GronHagsatra,2,48,null,Lägenhet,1949,[Svedmyra],2195000,405000,2600000,2924,Notar,517.7419697812885,Svedmyra
2016-04-21,Brevvägen 1,Svedmyra,GronHagsatra,2,44,3,Lägenhet,null,[Svedmyra],2295000,530000,2825000,2680,Grand Fastighetsförmedling,504.4453701149485,Svedmyra
2016-04-19,Jönåkersvägen 25,Svedmyra,GronHagsatra,2,56,2,Lägenhet,1950,[Enskede],1995000,460000,2455000,3717,Södermäklarna,564.3547722674243,Svedmyra
2016-04-13,Jönåkersvägen 17,Svedmyra,GronHagsatra,2,56,3,Lägenhet,1950,[Svedmyra],2295000,405000,2700000,3717,HusmanHagberg,522.900584347094,Svedmyra
2016-04-13,Brevvägen 7,Svedmyra,GronHagsatra,2,40,1,Lägenhet,1949,[Enskede],1995000,480000,2475000,2437,Svensk Fastighetsförmedling,572.4003432959305,Svedmyra
2016-04-08,Brevvägen 7,Svedmyra,GronHagsatra,2,46,2,Lägenhet,1949,[Svedmyra],2095000,385000,2480000,2803,Fastighetsbyrån,572.4003432959305,Svedmyra
2016-04-08,Selebovägen 3,Svedmyra,GronHagsatra,3,74,2,Lägenhet,1950,[Svedmyra],2890000,220000,3110000,4074,Fastighetsbyrån,601.6255065431762,Svedmyra
2016-04-07,Oppundavägen 31,Svedmyra,GronHagsatra,2,58,3,Lägenhet,1949,[Svedmyra],2495000,515000,3010000,3418,Grand Fastighetsförmedling,781.0702497848641,Tallkrogen
2016-03-31,Jönåkersvägen 9,Svedmyra,GronHagsatra,2,57,2,Lägenhet,1950,[Enskede],2495000,405000,2900000,2772,Länsförsäkringar Fastighetsförmedling,562.0749827322683,Svedmyra
2016-03-19,Selebovägen 7,Svedmyra,GronHagsatra,2,58,3,Lägenhet,1950,[Farsta stadsdelsområde],2195000,230000,2425000,3193,SkandiaMäklarna,633.0667258528625,Svedmyra
2016-03-17,Oppundavägen 23,Svedmyra,GronHagsatra,3,58,2,Lägenhet,1950,[Enskede],2495000,405000,2900000,3418,Mäklarhuset,737.0038663427218,Svedmyra
2016-02-19,Postiljonsvägen 33,Svedmyra,GronHagsatra,2,54,2,Lägenhet,null,[Svedmyra],2495000,425000,2920000,2787,Diplomat Fastighetsmäkleri AB,156.59897676919354,Svedmyra
2016-02-18,Jönåkersvägen 7,Svedmyra,GronHagsatra,1,18,1,Lägenhet,1950,[Svedmyra],1495000,485000,1980000,967,Länsförsäkringar Fastighetsförmedling,573.0759912734475,Svedmyra
2016-02-11,Brevvägen 5,Svedmyra,GronHagsatra,2,48,2,Lägenhet,1949,[Svedmyra],2195000,335000,2530000,2785,Fastighetsbyrån,545.3615560802147,Svedmyra
2016-02-11,Brevvägen 4,Svedmyra,GronHagsatra,1,33,2,Lägenhet,1949,[Svedmyra],1895000,305000,2200000,1951,Diplomat Fastighetsmäkleri AB,478.9546786206366,Svedmyra
2016-02-04,Postiljonsvägen 8,Svedmyra,GronHagsatra,3,72,1,Lägenhet,1948,[Enskede],2795000,655000,3450000,4436,Mäklarhuset,460.9753137622471,Svedmyra
2016-02-04,Postiljonsvägen 33,Svedmyra,GronHagsatra,2,54,null,Lägenhet,1948,[Svedmyra],2325000,385000,2710000,2787,Mäklarringen,156.59897676919354,Svedmyra
2016-01-28,Frimärksvägen 5,Svedmyra,GronHagsatra,2,45,2,Lägenhet,1948,[Svedmyra],1995000,405000,2400000,2567,Länsförsäkringar Fastighetsförmedling,492.16048597843553,Svedmyra
2016-01-14,Postiljonsvägen 4,Svedmyra,GronHagsatra,4,72,1,Lägenhet,1948,[Svedmyra],2990000,840000,3830000,4436,Fastighetsmäklarna,473.35586910424985,Svedmyra
2016-01-12,Brevvägen 7,Svedmyra,GronHagsatra,2,44,2,Lägenhet,1949,[Enskede],2395000,330000,2725000,2347,Diplomat Fastighetsmäkleri AB,572.4003432959305,Svedmyra
2015-12-16,Jönåkersvägen 9,Svedmyra,GronHagsatra,1,18,null,Lägenhet,1950,[Svedmyra],1395000,410000,1805000,967,Notar,562.0749827322683,Svedmyra
2015-12-12,Oppundavägen 35,Svedmyra,GronHagsatra,2,55,3,Lägenhet,null,[Enskede],2395000,5000,2400000,3241,Södermäklarna,803.2290820917474,Svedmyra
2015-12-11,Selebovägen 7,Svedmyra,GronHagsatra,3,74,1,Lägenhet,1950,[Svedmyra],2495000,1060000,3555000,3955,Notar,633.0667258528625,Svedmyra
2015-12-11,Oppundavägen 31,Svedmyra,GronHagsatra,2,58,3,Lägenhet,1949,[Svedmyra],2295000,125000,2420000,3418,Fastighetsbyrån,781.0702497848641,Tallkrogen
2015-12-11,Jönåkersvägen 26,Svedmyra,GronHagsatra,1,40,2,Lägenhet,1950,[Farsta stadsdelsområde],2095000,280000,2375000,2491,SkandiaMäklarna,516.793951768818,Svedmyra
2015-12-02,Jönåkersvägen 8,Svedmyra,GronHagsatra,3,74,2,Lägenhet,1950,[Svedmyra],2975000,545000,3520000,4152,Mäklarringen,576.5386869079282,Svedmyra
2015-11-28,Brevvägen 3,Svedmyra,GronHagsatra,3,61,1,Lägenhet,1949,[Svedmyra],2650000,0,2650000,3539,Diplomat Fastighetsmäkleri AB,517.7419697812885,Svedmyra
2015-11-26,Postiljonsvägen 31,Svedmyra,GronHagsatra,2,53,null,Lägenhet,null,[Svedmyra],2495000,305000,2800000,2753,Diplomat Fastighetsmäkleri AB,184.87474254313116,Svedmyra
2015-11-19,Postiljonsvägen 16,Svedmyra,GronHagsatra,2,55,0.5,Lägenhet,1948,[Svedmyra],1995000,405000,2400000,3729,Mäklarringen,378.81073344740025,Svedmyra
2015-11-10,Oppundavägen 35,Svedmyra,GronHagsatra,2,55,3,Lägenhet,null,[Enskede],2600000,-100000,2500000,3241,Södermäklarna,803.2290820917474,Svedmyra
2015-11-03,Brevvägen 4,Svedmyra,GronHagsatra,2,46,2,Lägenhet,1949,[Svedmyra],1995000,605000,2600000,2619,Notar,478.9546786206366,Svedmyra
2015-10-24,Oppundavägen 35,Svedmyra,GronHagsatra,1,18,1,Lägenhet,1949,[Svedmyra],1295000,405000,1700000,1061,Fastighetsbyrån,803.2290820917474,Svedmyra
2015-10-14,Brevvägen 9,Svedmyra,GronHagsatra,2,47,3,Lägenhet,1949,[Svedmyra],1995000,575000,2570000,2727,Diplomat Fastighetsmäkleri AB,585.5007104259868,Stureby
2015-10-01,Postiljonsvägen 31,Svedmyra,GronHagsatra,2,53,3,Lägenhet,1948,[Svedmyra],2450000,300000,2750000,2735,Fastighetsbyrån,184.87474254313116,Svedmyra
2015-09-30,Postiljonsvägen 18A,Svedmyra,GronHagsatra,3,74,7,Lägenhet,1948,[Enskede],2600000,800000,3400000,4731,Mäklarhuset,376.7450960998768,Svedmyra
2015-09-25,Frimärksvägen 9,Svedmyra,GronHagsatra,1,38,3,Lägenhet,1949,[Svedmyra],1750000,740000,2490000,2208,HusmanHagberg,474.3914618172346,Svedmyra
2015-09-24,Oppundavägen 9,Svedmyra,GronHagsatra,2,56,null,Lägenhet,1950,[Svedmyra],2095000,505000,2600000,3142,Notar,630.8328173115833,Svedmyra
2015-09-17,Postiljonsvägen 4,Svedmyra,GronHagsatra,3,69,0,Lägenhet,1948,[Enskede],2295000,530000,2825000,4436,Svensk Fastighetsförmedling,473.35586910424985,Svedmyra
2015-09-11,Jönåkersvägen 7,Svedmyra,GronHagsatra,1,18,1,Lägenhet,1950,[Svedmyra],1395000,355000,1750000,967,Länsförsäkringar Fastighetsförmedling,573.0759912734475,Svedmyra
2015-09-10,Brevvägen 1,Svedmyra,GronHagsatra,1,37,1,Lägenhet,1949,[Svedmyra],1995000,430000,2425000,2147,Diplomat Fastighetsmäkleri AB,504.4453701149485,Svedmyra
2015-09-05,Postiljonsvägen 29,Svedmyra,GronHagsatra,3,69,2,Lägenhet,1948,[Svedmyra],2925000,315000,3240000,3561,Mäklarringen,212.0347043113805,Svedmyra
2015-09-04,Muskögatan 27,Svedmyra,GronHagsatra,5,125,null,Villa,1932,[Enskede],7500000,0,7500000,null,Bjurfors,431.67198328424735,Svedmyra
2015-08-20,Värmbolsvägen 37,Svedmyra,GronHagsatra,5,120,8,Lägenhet,1995,[Enskede],4950000,1700000,6650000,5190,Mäklarhuset,764.4747467948272,Svedmyra
2015-08-11,Frimärksvägen 5,Svedmyra,GronHagsatra,1,32,1,Lägenhet,1949,[Svedmyra],1595000,515000,2110000,1900,Notar,492.16048597843553,Svedmyra
2015-08-07,Postiljonsvägen 31,Svedmyra,GronHagsatra,2,53,1,Lägenhet,1948,[Svedmyra],2450000,650000,3100000,2735,Diplomat Fastighetsmäkleri AB,184.87474254313116,Svedmyra
2015-07-04,Selebovägen 9,Svedmyra,GronHagsatra,2,58,3,Lägenhet,1950,[Enskede],2195000,415000,2610000,3100,Mäklarhuset,647.4410378359428,Svedmyra
2015-06-24,Oppundavägen 27,Svedmyra,GronHagsatra,2,58,1,Lägenhet,1950,[Svedmyra],2095000,325000,2420000,3418,Länsförsäkringar Fastighetsförmedling,760.6869473527481,Svedmyra
